stops,measured_Z8_HLG_IRE,source_chart_HLG_theory_IRE,calibrated_BT2100_HLG_IRE,final_reverse_curve_IRE,region
-8.38000000,3.1204033010,2.0340955608,1.9743877546,1.2238318510,shadow_linear_connection
-8.36000000,3.1204033010,2.0449758939,1.9881207075,1.2409159070,shadow_linear_connection
-8.34000000,3.1204033010,2.0559255549,2.0019491806,1.2582384476,shadow_linear_connection
-8.32000000,3.1204033010,2.0712480636,2.0158738383,1.2758028017,shadow_linear_connection
-8.30000000,3.1204033010,2.0875214280,2.0298953497,1.2936123452,shadow_linear_connection
-8.28000000,3.1204033010,2.1038038741,2.0440143884,1.3116705005,shadow_linear_connection
-8.26000000,3.1204033010,2.1196038259,2.0582316328,1.3299807384,shadow_linear_connection
-8.24000000,3.1204033010,2.1399451901,2.0725477660,1.3485465776,shadow_linear_connection
-8.22000000,3.1204033010,2.1604431087,2.0869634757,1.3673715863,shadow_linear_connection
-8.20000000,3.1204033010,2.1807043210,2.1014794546,1.3864593823,shadow_linear_connection
-8.18000000,3.1204033010,2.2003355663,2.1160964002,1.4058136341,shadow_linear_connection
-8.16000000,3.1204033010,2.2179581633,2.1308150146,1.4254380611,shadow_linear_connection
-8.14000000,3.1204033010,2.2315100307,2.1456360051,1.4453364349,shadow_linear_connection
-8.12000000,3.1204033010,2.2433897086,2.1605600837,1.4655125796,shadow_linear_connection
-8.10000000,3.1204033010,2.2520928372,2.1755879675,1.4859703729,shadow_linear_connection
-8.08000000,3.1204033010,2.2607988072,2.1907203786,1.5067137463,shadow_linear_connection
-8.06000000,3.1204033010,2.2689177272,2.2059580438,1.5277466864,shadow_linear_connection
-8.04000000,3.1204033010,2.2799995907,2.2213016954,1.5490732354,shadow_linear_connection
-8.02000000,3.1204033010,2.2974233157,2.2367520705,1.5706974919,shadow_linear_connection
-8.00000000,3.1204033010,2.3158085135,2.2523099115,1.5926236118,shadow_linear_connection
-7.98000000,3.1204033010,2.3347619232,2.2679759659,1.6148558089,shadow_linear_connection
-7.96000000,3.1204033010,2.3538902842,2.2837509862,1.6373983559,shadow_linear_connection
-7.94000000,3.1204033010,2.3728003356,2.2996357305,1.6602555852,shadow_linear_connection
-7.92000000,3.1204033010,2.3910988167,2.3156309620,1.6834318895,shadow_linear_connection
-7.90000000,3.1204033010,2.4083924665,2.3317374490,1.7069317229,shadow_linear_connection
-7.88000000,3.1174696495,2.4242880244,2.3479559656,1.7307596018,shadow_linear_connection
-7.86000000,3.1145257851,2.4353194187,2.3642872908,1.7549201055,shadow_linear_connection
-7.84000000,3.1129352337,2.4443448457,2.3807322094,1.7794178772,shadow_linear_connection
-7.82000000,3.1092485504,2.4521422837,2.3972915115,1.8042576251,shadow_linear_connection
-7.80000000,3.1072749142,2.4547298678,2.4139659926,1.8294441230,shadow_linear_connection
-7.78000000,3.1077026757,2.4649908738,2.4307564539,1.8549822112,shadow_linear_connection
-7.76000000,3.1103352043,2.4784684325,2.4476637021,1.8808767979,shadow_linear_connection
-7.74000000,3.1149758697,2.4934002989,2.4646885495,1.9071328596,shadow_linear_connection
-7.72000000,3.1213727121,2.5093932122,2.4818318141,1.9337554422,shadow_linear_connection
-7.70000000,3.1254679234,2.5260539115,2.4990943195,1.9607496622,shadow_linear_connection
-7.68000000,3.1324055878,2.5426554880,2.5164768951,1.9881207075,shadow_linear_connection
-7.66000000,3.1418907599,2.5555995401,2.5339803761,2.0158738383,shadow_linear_connection
-7.64000000,3.1530165271,2.5694489483,2.5516056035,2.0440143884,shadow_linear_connection
-7.62000000,3.1629388401,2.5829610104,2.5693534240,2.0725477660,shadow_linear_connection
-7.60000000,3.1759343212,2.5934230652,2.5872246903,2.1014794546,shadow_linear_connection
-7.58000000,3.1916097096,2.6047228178,2.6052202612,2.1308150146,shadow_linear_connection
-7.56000000,3.2084031402,2.6162703772,2.6233410011,2.1605600837,shadow_linear_connection
-7.54000000,3.2246843226,2.6275297159,2.6415877807,2.1907203786,shadow_linear_connection
-7.52000000,3.2438624169,2.6401946379,2.6599614768,2.2213016954,shadow_linear_connection
-7.50000000,3.2638597647,2.6561237255,2.6784629720,2.2523099115,shadow_linear_connection
-7.48000000,3.2839318159,2.6772637570,2.6970931553,2.2837509862,shadow_linear_connection
-7.46000000,3.3068125554,2.7003952982,2.7158529217,2.3156309620,shadow_linear_connection
-7.44000000,3.3319120920,2.7230232126,2.7347431726,2.3479559656,shadow_linear_connection
-7.42000000,3.3586405345,2.7453870056,2.7537648157,2.3807322094,shadow_linear_connection
-7.40000000,3.3864079917,2.7696438020,2.7729187647,2.4139659926,shadow_linear_connection
-7.38000000,3.4122035338,2.7952037105,2.7922059400,2.4476637021,shadow_linear_connection
-7.36000000,3.4371524065,2.8214768401,2.8116272682,2.4818318141,shadow_linear_connection
-7.34000000,3.4600372018,2.8478732994,2.8311836824,2.5164768951,shadow_linear_connection
-7.32000000,3.4825408874,2.8738031974,2.8508761222,2.5516056035,shadow_linear_connection
-7.30000000,3.5056625239,2.8927212904,2.8707055338,2.5872246903,shadow_linear_connection
-7.28000000,3.5286155899,2.9100921095,2.8906728698,2.6233410011,shadow_linear_connection
-7.26000000,3.5546672052,2.9279311507,2.9107790896,2.6599614768,shadow_linear_connection
-7.24000000,3.5816312953,2.9496978209,2.9310251593,2.6970931553,shadow_linear_connection
-7.22000000,3.6077617083,2.9728780269,2.9514120515,2.7347431726,shadow_linear_connection
-7.20000000,3.6333272665,2.9958647762,2.9719407458,2.7729187647,shadow_linear_connection
-7.18000000,3.6561108261,3.0227926508,2.9926122284,2.8116272682,shadow_linear_connection
-7.16000000,3.6802186108,3.0502618172,3.0134274926,2.8508761222,shadow_linear_connection
-7.14000000,3.7051113877,3.0769823681,3.0343875383,2.8906728698,shadow_linear_connection
-7.12000000,3.7300026350,3.0948496015,3.0554933727,2.9310251593,shadow_linear_connection
-7.10000000,3.7541822840,3.1138333915,3.0767460098,2.9719407458,shadow_linear_connection
-7.08000000,3.7822488764,3.1331472167,3.0981464707,3.0134274926,shadow_linear_connection
-7.06000000,3.8095779381,3.1524655813,3.1196957836,3.0554933727,shadow_linear_connection
-7.04000000,3.8354812628,3.1757309904,3.1413949838,3.0981464707,shadow_linear_connection
-7.02000000,3.8582476230,3.1985972884,3.1632451138,3.1413949838,shadow_linear_connection
-7.00000000,3.8776832131,3.2214141552,3.1852472236,3.1852472236,shadow_linear_connection
-6.98000000,3.8980708365,3.2448130973,3.2074023701,3.2074023701,exact_HLG_theory
-6.96000000,3.9186239716,3.2626972382,3.2297116178,3.2297116178,exact_HLG_theory
-6.94000000,3.9401708431,3.2819598645,3.2521760386,3.2521760386,exact_HLG_theory
-6.92000000,3.9646858448,3.3036214877,3.2747967118,3.2747967118,exact_HLG_theory
-6.90000000,3.9868885110,3.3293284829,3.2975747243,3.2975747243,exact_HLG_theory
-6.88000000,4.0084610588,3.3557088105,3.3205111704,3.3205111704,exact_HLG_theory
-6.86000000,4.0334645834,3.3820742641,3.3436071520,3.3436071520,exact_HLG_theory
-6.84000000,4.0566186193,3.4055498926,3.3668637789,3.3668637789,exact_HLG_theory
-6.82000000,4.0783978325,3.4270529248,3.3902821685,3.3902821685,exact_HLG_theory
-6.80000000,4.1005095984,3.4505744312,3.4138634458,3.4138634458,exact_HLG_theory
-6.78000000,4.1221673956,3.4756414641,3.4376087439,3.4376087439,exact_HLG_theory
-6.76000000,4.1431866471,3.5014675019,3.4615192036,3.4615192036,exact_HLG_theory
-6.74000000,4.1650645265,3.5272660231,3.4855959737,3.4855959737,exact_HLG_theory
-6.72000000,4.1878769034,3.5522505061,3.5098402110,3.5098402110,exact_HLG_theory
-6.70000000,4.2131209514,3.5724735690,3.5342530802,3.5342530802,exact_HLG_theory
-6.68000000,4.2400580859,3.5955366202,3.5588357545,3.5588357545,exact_HLG_theory
-6.66000000,4.2679017853,3.6224830825,3.5835894147,3.5835894147,exact_HLG_theory
-6.64000000,4.2958655282,3.6514541959,3.6085152502,3.6085152502,exact_HLG_theory
-6.62000000,4.3194452953,3.6816634388,3.6336144587,3.6336144587,exact_HLG_theory
-6.60000000,4.3387689839,3.7123242896,3.6588882460,3.6588882460,exact_HLG_theory
-6.58000000,4.3635055023,3.7426502267,3.6843378263,3.6843378263,exact_HLG_theory
-6.56000000,4.3949829311,3.7717113499,3.7099644225,3.7099644225,exact_HLG_theory
-6.54000000,4.4282443347,3.7947849666,3.7357692657,3.7357692657,exact_HLG_theory
-6.52000000,4.4585769150,3.8132525607,3.7617535959,3.7617535959,exact_HLG_theory
-6.50000000,4.4872233184,3.8418186414,3.7879186613,3.7879186613,exact_HLG_theory
-6.48000000,4.5181331852,3.8719122008,3.8142657191,3.8142657191,exact_HLG_theory
-6.46000000,4.5503233634,3.9027467175,3.8407960353,3.8407960353,exact_HLG_theory
-6.44000000,4.5828107009,3.9335356698,3.8675108844,3.8675108844,exact_HLG_theory
-6.42000000,4.6146120459,3.9634925363,3.8944115499,3.8944115499,exact_HLG_theory
-6.40000000,4.6448129491,3.9893174878,3.9214993244,3.9214993244,exact_HLG_theory
-6.38000000,4.6769976486,4.0081650333,3.9487755092,3.9487755092,exact_HLG_theory
-6.36000000,4.7116265629,4.0299613218,3.9762414150,3.9762414150,exact_HLG_theory
-6.34000000,4.7477165400,4.0590374869,4.0038983612,4.0038983612,exact_HLG_theory
-6.32000000,4.7824711368,4.0890490709,4.0317476766,4.0317476766,exact_HLG_theory
-6.30000000,4.8151897904,4.1172571018,4.0597906994,4.0597906994,exact_HLG_theory
-6.28000000,4.8481540744,4.1413940557,4.0880287768,4.0880287768,exact_HLG_theory
-6.26000000,4.8825662167,4.1643313607,4.1164632656,4.1164632656,exact_HLG_theory
-6.24000000,4.9177477711,4.1877112165,4.1450955319,4.1450955319,exact_HLG_theory
-6.22000000,4.9556388560,4.2135720565,4.1739269514,4.1739269514,exact_HLG_theory
-6.20000000,4.9955190174,4.2445056143,4.2029589092,4.2029589092,exact_HLG_theory
-6.18000000,5.0346002509,4.2722803818,4.2321928003,4.2321928003,exact_HLG_theory
-6.16000000,5.0660462723,4.2996015821,4.2616300292,4.2616300292,exact_HLG_theory
-6.14000000,5.0984781368,4.3288138994,4.2912720102,4.2912720102,exact_HLG_theory
-6.12000000,5.1327082638,4.3589341817,4.3211201675,4.3211201675,exact_HLG_theory
-6.10000000,5.1705822771,4.3889792771,4.3511759351,4.3511759351,exact_HLG_theory
-6.08000000,5.2094116117,4.4223336261,4.3814407571,4.3814407571,exact_HLG_theory
-6.06000000,5.2472432192,4.4606388396,4.4119160876,4.4119160876,exact_HLG_theory
-6.04000000,5.2830939478,4.4923931643,4.4426033908,4.4426033908,exact_HLG_theory
-6.02000000,5.3159806453,4.5258681981,4.4735041411,4.4735041411,exact_HLG_theory
-6.00000000,5.3420737053,4.5607166112,4.5046198231,4.5046198231,exact_HLG_theory
-5.98000000,5.3733061460,4.5959552518,4.5359519317,4.5359519317,exact_HLG_theory
-5.96000000,5.4047471921,4.6306009676,4.5675019724,4.5675019724,exact_HLG_theory
-5.94000000,5.4352787516,4.6634030017,4.5992714610,4.5992714610,exact_HLG_theory
-5.92000000,5.4643080760,4.6954474190,4.6312619239,4.6312619239,exact_HLG_theory
-5.90000000,5.4962842038,4.7290585047,4.6634748981,4.6634748981,exact_HLG_theory
-5.88000000,5.5311347205,4.7642237210,4.6959119311,4.6959119311,exact_HLG_theory
-5.86000000,5.5634808455,4.7999599162,4.7285745816,4.7285745816,exact_HLG_theory
-5.84000000,5.5897927887,4.8352839381,4.7614644188,4.7614644188,exact_HLG_theory
-5.82000000,5.6120347959,4.8666112781,4.7945830229,4.7945830229,exact_HLG_theory
-5.80000000,5.6331342417,4.8911073595,4.8279319852,4.8279319852,exact_HLG_theory
-5.78000000,5.6555807952,4.9185017009,4.8615129078,4.8615129078,exact_HLG_theory
-5.76000000,5.6817798888,4.9527212607,4.8953274041,4.8953274041,exact_HLG_theory
-5.74000000,5.7055334574,4.9873130002,4.9293770989,4.9293770989,exact_HLG_theory
-5.72000000,5.7290980439,5.0192972922,4.9636636281,4.9636636281,exact_HLG_theory
-5.70000000,5.7540943691,5.0484053648,4.9981886389,4.9981886389,exact_HLG_theory
-5.68000000,5.7808788924,5.0790104016,5.0329537902,5.0329537902,exact_HLG_theory
-5.66000000,5.8093769173,5.1138343439,5.0679607522,5.0679607522,exact_HLG_theory
-5.64000000,5.8342809561,5.1478870398,5.1032112069,5.1032112069,exact_HLG_theory
-5.62000000,5.8570557238,5.1777178477,5.1387068479,5.1387068479,exact_HLG_theory
-5.60000000,5.8807917026,5.2066857478,5.1744493806,5.1744493806,exact_HLG_theory
-5.58000000,5.9046040556,5.2355046457,5.2104405223,5.2104405223,exact_HLG_theory
-5.56000000,5.9276079461,5.2676864530,5.2466820022,5.2466820022,exact_HLG_theory
-5.54000000,5.9537573301,5.3033785642,5.2831755615,5.2831755615,exact_HLG_theory
-5.52000000,5.9796801453,5.3404079594,5.3199229536,5.3199229536,exact_HLG_theory
-5.50000000,6.0074805993,5.3742642583,5.3569259440,5.3569259440,exact_HLG_theory
-5.48000000,6.0371077946,5.4046205052,5.3941863105,5.3941863105,exact_HLG_theory
-5.46000000,6.0676768944,5.4356874876,5.4317058434,5.4317058434,exact_HLG_theory
-5.44000000,6.0943583555,5.4667347890,5.4694863453,5.4694863453,exact_HLG_theory
-5.42000000,6.1175823834,5.5029861729,5.5075296314,5.5075296314,exact_HLG_theory
-5.40000000,6.1418477860,5.5417456705,5.5458375294,5.5458375294,exact_HLG_theory
-5.38000000,6.1771040612,5.5780255772,5.5844118799,5.5844118799,exact_HLG_theory
-5.36000000,6.2144831783,5.6158418120,5.6232545363,5.6232545363,exact_HLG_theory
-5.34000000,6.2518024879,5.6533656865,5.6623673647,5.6623673647,exact_HLG_theory
-5.32000000,6.2832530885,5.6875989081,5.7017522444,5.7017522444,exact_HLG_theory
-5.30000000,6.3169911954,5.7271357389,5.7414110675,5.7414110675,exact_HLG_theory
-5.28000000,6.3519353415,5.7702938278,5.7813457396,5.7813457396,exact_HLG_theory
-5.26000000,6.3845929723,5.8099214714,5.8215581793,5.8215581793,exact_HLG_theory
-5.24000000,6.4129953730,5.8477309101,5.8620503186,5.8620503186,exact_HLG_theory
-5.22000000,6.4482744261,5.8862937408,5.9028241030,5.9028241030,exact_HLG_theory
-5.20000000,6.4890587281,5.9279263515,5.9438814915,5.9438814915,exact_HLG_theory
-5.18000000,6.5279123716,5.9744876592,5.9852244568,5.9852244568,exact_HLG_theory
-5.16000000,6.5640781205,6.0177751346,6.0268549851,6.0268549851,exact_HLG_theory
-5.14000000,6.6048130755,6.0581391770,6.0687750766,6.0687750766,exact_HLG_theory
-5.12000000,6.6481250221,6.0980081026,6.1109867455,6.1109867455,exact_HLG_theory
-5.10000000,6.6917069085,6.1414601489,6.1534920197,6.1534920197,exact_HLG_theory
-5.08000000,6.7343263466,6.1854704307,6.1962929414,6.1962929414,exact_HLG_theory
-5.06000000,6.7765074470,6.2285679366,6.2393915672,6.2393915672,exact_HLG_theory
-5.04000000,6.8162566143,6.2687590713,6.2827899675,6.2827899675,exact_HLG_theory
-5.02000000,6.8617113273,6.3106534903,6.3264902276,6.3264902276,exact_HLG_theory
-5.00000000,6.9091116456,6.3577285475,6.3704944471,6.3704944471,exact_HLG_theory
-4.98000000,6.9574167854,6.4031849837,6.4148047401,6.4148047401,exact_HLG_theory
-4.96000000,7.0033073668,6.4445947429,6.4594232356,6.4594232356,exact_HLG_theory
-4.94000000,7.0457452026,6.4898063821,6.5043520772,6.5043520772,exact_HLG_theory
-4.92000000,7.0928085534,6.5329246713,6.5495934237,6.5495934237,exact_HLG_theory
-4.90000000,7.1462363650,6.5761177073,6.5951494486,6.5951494486,exact_HLG_theory
-4.88000000,7.2013405423,6.6233654125,6.6410223407,6.6410223407,exact_HLG_theory
-4.86000000,7.2521524131,6.6714717465,6.6872143040,6.6872143040,exact_HLG_theory
-4.84000000,7.3027059767,6.7168880258,6.7337275579,6.7337275579,exact_HLG_theory
-4.82000000,7.3569811556,6.7630583030,6.7805643370,6.7805643370,exact_HLG_theory
-4.80000000,7.4149825765,6.8106810172,6.8277268916,6.8277268916,exact_HLG_theory
-4.78000000,7.4692131677,6.8591907224,6.8752174878,6.8752174878,exact_HLG_theory
-4.76000000,7.5192901449,6.9087034547,6.9230384072,6.9230384072,exact_HLG_theory
-4.74000000,7.5647685476,6.9563763532,6.9711919474,6.9711919474,exact_HLG_theory
-4.72000000,7.6069345220,7.0060910252,7.0196804219,7.0196804219,exact_HLG_theory
-4.70000000,7.6531905911,7.0580395275,7.0685061605,7.0685061605,exact_HLG_theory
-4.68000000,7.6964165150,7.1046560324,7.1176715089,7.1176715089,exact_HLG_theory
-4.66000000,7.7361152589,7.1537049812,7.1671788294,7.1671788294,exact_HLG_theory
-4.64000000,7.7750591884,7.2066547788,7.2170305005,7.2170305005,exact_HLG_theory
-4.62000000,7.8179746046,7.2596238182,7.2672289174,7.2672289174,exact_HLG_theory
-4.60000000,7.8588024681,7.3115951611,7.3177764919,7.3177764919,exact_HLG_theory
-4.58000000,7.8969936701,7.3621640862,7.3686756526,7.3686756526,exact_HLG_theory
-4.56000000,7.9368067957,7.4106035523,7.4199288449,7.4199288449,exact_HLG_theory
-4.54000000,7.9802919238,7.4628822313,7.4715385314,7.4715385314,exact_HLG_theory
-4.52000000,8.0224512158,7.5214894355,7.5235071917,7.5235071917,exact_HLG_theory
-4.50000000,8.0656952838,7.5833692832,7.5758373226,7.5758373226,exact_HLG_theory
-4.48000000,8.1097384833,7.6397153097,7.6285314383,7.6285314383,exact_HLG_theory
-4.46000000,8.1555380251,7.6968188389,7.6815920706,7.6815920706,exact_HLG_theory
-4.44000000,8.2021261903,7.7563638650,7.7350217687,7.7350217687,exact_HLG_theory
-4.42000000,8.2510970449,7.8128090722,7.7888230998,7.7888230998,exact_HLG_theory
-4.40000000,8.3008007960,7.8699848520,7.8429986488,7.8429986488,exact_HLG_theory
-4.38000000,8.3534683646,7.9274445005,7.8975510185,7.8975510185,exact_HLG_theory
-4.36000000,8.4067678836,7.9808239099,7.9524828299,7.9524828299,exact_HLG_theory
-4.34000000,8.4635671293,8.0393893007,8.0077967223,8.0077967223,exact_HLG_theory
-4.32000000,8.5255945361,8.0996129781,8.0634953533,8.0634953533,exact_HLG_theory
-4.30000000,8.5888456206,8.1600676717,8.1195813988,8.1195813988,exact_HLG_theory
-4.28000000,8.6520656502,8.2172758057,8.1760575537,8.1760575537,exact_HLG_theory
-4.26000000,8.7144972194,8.2745999448,8.2329265313,8.2329265313,exact_HLG_theory
-4.24000000,8.7808322692,8.3350446678,8.2901910639,8.2901910639,exact_HLG_theory
-4.22000000,8.8463025157,8.3918938560,8.3478539028,8.3478539028,exact_HLG_theory
-4.20000000,8.9100594743,8.4498137453,8.4059178185,8.4059178185,exact_HLG_theory
-4.18000000,8.9715454558,8.5110655925,8.4643856006,8.4643856006,exact_HLG_theory
-4.16000000,9.0330314373,8.5677981641,8.5232600584,8.5232600584,exact_HLG_theory
-4.14000000,9.0945174188,8.6258818168,8.5825440204,8.5825440204,exact_HLG_theory
-4.12000000,9.1560034003,8.6870433385,8.6422403349,8.6422403349,exact_HLG_theory
-4.10000000,9.2174175155,8.7436503645,8.7023518702,8.7023518702,exact_HLG_theory
-4.08000000,9.2786278108,8.7984487242,8.7628815142,8.7628815142,exact_HLG_theory
-4.06000000,9.3397144755,8.8583819290,8.8238321752,8.8238321752,exact_HLG_theory
-4.04000000,9.4018927607,8.9193553573,8.8852067816,8.8852067816,exact_HLG_theory
-4.02000000,9.4645870461,8.9797619836,8.9470082821,8.9470082821,exact_HLG_theory
-4.00000000,9.5252854175,9.0383422150,9.0092396461,9.0092396461,exact_HLG_theory
-3.98000000,9.5867161136,9.0967046102,9.0719038634,9.0719038634,exact_HLG_theory
-3.96000000,9.6494443360,9.1587795616,9.1350039449,9.1350039449,exact_HLG_theory
-3.94000000,9.7119933515,9.2215973491,9.1985429221,9.1985429221,exact_HLG_theory
-3.92000000,9.7742972758,9.2852091815,9.2625238478,9.2625238478,exact_HLG_theory
-3.90000000,9.8362969050,9.3474359687,9.3269497961,9.3269497961,exact_HLG_theory
